"Zeit (lokal, CET)",Geraet,Quelle,Akteur,Beschreibung
2025-12-19 17:20:00,Samsung (Daniel),WhatsApp,4915443456786,„Die Bremsen sind fertig. Rechnung kommt per Post.“
2025-12-19 17:25:00,Samsung (Daniel),WhatsApp,Daniel,„Danke. Kann ich das in zwei Raten zahlen?“
2026-01-08 18:30:00,iPhone (Anna),WhatsApp/gym_crew,Trainer Mike,"„Morgen 18 Uhr Kurs faellt aus, dafuer Donnerstag extra Session 💪“"
2026-01-08 18:34:00,iPhone (Anna),WhatsApp/gym_crew,Anna,„Schade! Donnerstag passt aber.“
2026-01-09 07:12:00,iPhone (Anna),WhatsApp/gym_crew,Sandra,„Wer kommt heute zum Lauftreff?“
2026-01-09 07:20:00,iPhone (Anna),WhatsApp/gym_crew,Anna,"„Ich bin dabei, bis gleich 🏃‍♀️“"
2026-01-12 19:02:00,Samsung (Daniel),WhatsApp,496170001111-1610000000,„Hat jemand Streusalz übrig? Gehweg ist spiegelglatt.“
2026-01-12 19:10:00,Samsung (Daniel),WhatsApp,Daniel,„Kann dir morgen einen Sack vorbeibringen.“
2026-01-14 07:30:00,Samsung (Daniel),WhatsApp,496170002222-1605000000,„Wochenziele im CRM bitte bis Freitag eintragen.“
2026-01-14 07:45:00,Samsung (Daniel),WhatsApp,Daniel,„Mach ich. Bin heute Raum Stuttgart unterwegs.“
2026-01-15 19:02:00,Samsung (Daniel),WhatsApp,4915443456786,"„Daniel, die erste Rate ist ueberfaellig.“"
2026-01-15 19:40:00,Samsung (Daniel),WhatsApp,Daniel,"„Naechste Woche, versprochen.“"
2026-01-16 20:05:00,iPhone (Anna),WhatsApp/gym_crew,Tom,„Gruppenfoto vom letzten Mal 📸“
2026-01-19 08:40:00,Samsung (Daniel),WhatsApp,496170001111-1610000000,„Mülltonnen werden Mittwoch geleert.“
2026-01-20 11:19:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.google.com/maps/dir/
2026-01-20 12:40:00,iPhone (Anna),WhatsApp/gym_crew,Sandra,"„Neuer Kursplan haengt aus, hab ihn fotografiert.“"
2026-01-20 13:05:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.google.com/search?q=stau+a8+heute
2026-01-20 14:13:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.apotheken-umschau.de/
2026-01-20 15:40:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.tripadvisor.de/
2026-01-20 15:40:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.mediamarkt.de/de/category/notebooks
2026-01-20 16:22:00,Samsung (Daniel),WhatsApp,496170002222-1605000000,„Muster für die Klinik kommen erst nächste Woche.“
2026-01-20 16:35:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.otto.de/sale/
2026-01-20 17:11:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.wikipedia.org/wiki/Schwarzwald
2026-01-20 18:51:00,Samsung (Daniel),Chrome,Daniel,Web: https://www.spiegel.de/
2026-01-22 20:15:00,Samsung (Daniel),WhatsApp,496170001111-1610000000,„Faschingsumzug-Planung am Freitag im Bürgerhaus.“
2026-01-22 22:40:00,iPhone (Anna),BIOME/Safari,Anna,Web: google.com/search?q=wohnung+mieten+2+zimmer
2026-01-23 18:30:00,Samsung (Daniel),calllog.db,Daniel,Anruf ausgehend Anna (65s)
2026-01-23 18:31:00,Samsung (Daniel),WhatsApp,Daniel,„Holst du Ben heute? Ich schaff's nicht.“
